Rule_ID,Antecedent,Consequent,Confidence,Lift,Support,P_Value
1,"{Pressure:(0.0,1030.0), Temperature:(5.0,35.0)}","{Humidity:(20.0,84.0)}",1.0,1.0,0.8963414634146342,1.0
2,"{Humidity:(20.0,84.0), Temperature:(5.0,35.0)}","{Pressure:(0.0,1030.0)}",0.98,1.0236942675159235,0.8963414634146342,0.9768541562966649
3,"{Humidity:(20.0,84.0), Pressure:(0.0,1030.0)}","{Temperature:(5.0,35.0)}",0.9363057324840764,1.0236942675159235,0.8963414634146342,0.9768541562966649
4,"{Pressure:(10.0,1030.0), Temperature:(5.0,35.0)}","{Humidity:(10.0,84.0)}",1.0,1.0,0.8963414634146342,1.0
5,"{Humidity:(10.0,84.0), Temperature:(5.0,35.0)}","{Pressure:(10.0,1030.0)}",0.98,1.0236942675159235,0.8963414634146342,0.9768541562966649
6,"{Humidity:(10.0,84.0), Pressure:(10.0,1030.0)}","{Temperature:(5.0,35.0)}",0.9363057324840764,1.0236942675159235,0.8963414634146342,0.9768541562966649
7,"{Pressure:(10.0,1030.0), Temperature:(0.0,25.0)}","{Humidity:(0.0,79.0)}",0.8222222222222222,0.9111111111111111,0.45121951219512196,1.0
8,"{Humidity:(0.0,79.0), Temperature:(0.0,25.0)}","{Pressure:(10.0,1030.0)}",0.9736842105263158,1.0170968823332216,0.45121951219512196,0.9831905075807514
9,"{Pressure:(5.0,1030.0), Temperature:(5.0,35.0)}","{Humidity:(5.0,74.0)}",0.8299319727891156,0.9792003132188126,0.7439024390243902,1.0
10,"{Humidity:(5.0,74.0), Temperature:(5.0,35.0)}","{Pressure:(5.0,1030.0)}",0.976,1.019515923566879,0.7439024390243902,0.980857656937225
11,"{Humidity:(5.0,74.0), Pressure:(5.0,1030.0)}","{Temperature:(5.0,35.0)}",0.9242424242424242,1.0105050505050504,0.7439024390243902,0.9896041583366655
12,"{Humidity:(10.0,69.0), Temperature:(0.0,40.0)}","{Pressure:(0.0,1025.0)}",0.9112903225806451,1.0030309590820523,0.6890243902439024,0.9969781998704943
13,"{Humidity:(10.0,69.0), Pressure:(0.0,1025.0)}","{Temperature:(0.0,40.0)}",1.0,1.0250000000000001,0.6890243902439024,0.975609756097561
14,"{Pressure:(10.0,1020.0), Temperature:(0.0,40.0)}","{Humidity:(0.0,74.0)}",0.8134328358208956,0.9597337055728553,0.6646341463414634,1.0
15,"{Humidity:(0.0,74.0), Temperature:(0.0,40.0)}","{Pressure:(10.0,1020.0)}",0.8074074074074075,0.988170259812051,0.6646341463414634,1.0
16,"{Humidity:(0.0,74.0), Pressure:(10.0,1020.0)}","{Temperature:(0.0,40.0)}",1.0,1.0250000000000001,0.6646341463414634,0.9756097560975608
17,"{Pressure:(10.0,1025.0), Temperature:(5.0,35.0)}","{Humidity:(5.0,84.0)}",1.0,1.0,0.8475609756097561,1.0
18,"{Humidity:(5.0,84.0), Temperature:(5.0,35.0)}","{Pressure:(10.0,1025.0)}",0.9266666666666666,1.0199552572706934,0.8475609756097561,0.980435164063871
19,"{Humidity:(5.0,84.0), Pressure:(10.0,1025.0)}","{Temperature:(5.0,35.0)}",0.9328859060402684,1.0199552572706934,0.8475609756097561,0.980435164063871
20,"{Humidity:(0.0,64.0), Temperature:(10.0,40.0)}","{Pressure:(0.0,1030.0)}",0.9729729729729729,1.0163539335513858,0.6585365853658537,0.9839092140921409
21,"{Humidity:(0.0,64.0), Pressure:(0.0,1030.0)}","{Temperature:(10.0,40.0)}",1.0,1.0314465408805031,0.6585365853658537,0.9695121951219512
22,"{Pressure:(5.0,1015.0), Temperature:(0.0,30.0)}","{Humidity:(0.0,84.0)}",1.0,1.0,0.4634146341463415,1.0
23,"{Pressure:(0.0,1010.0), Temperature:(0.0,40.0)}","{Humidity:(0.0,74.0)}",0.8051948051948052,0.9500140147622163,0.3780487804878049,1.0
24,"{Humidity:(0.0,74.0), Pressure:(0.0,1010.0)}","{Temperature:(0.0,40.0)}",1.0,1.0250000000000001,0.3780487804878049,0.975609756097561
25,"{Pressure:(0.0,1030.0), Temperature:(0.0,40.0)}","{Humidity:(30.0,84.0)}",0.9936305732484076,1.0248768176901815,0.9512195121951219,0.9757270168855534
26,"{Humidity:(30.0,84.0), Temperature:(0.0,40.0)}","{Pressure:(0.0,1030.0)}",0.9811320754716981,1.0248768176901815,0.9512195121951219,0.9757270168855534
27,"{Humidity:(30.0,84.0), Pressure:(0.0,1030.0)}","{Temperature:(0.0,40.0)}",1.0,1.0250000000000001,0.9512195121951219,0.975609756097561
28,"{Pressure:(0.0,1020.0), Temperature:(0.0,30.0)}","{Humidity:(10.0,84.0)}",1.0,1.0,0.6219512195121951,1.0
29,"{Humidity:(10.0,84.0), Temperature:(0.0,30.0)}","{Pressure:(0.0,1020.0)}",0.8429752066115702,1.0317009991365487,0.6219512195121951,0.9692730750836919
30,"{Pressure:(10.0,1010.0), Temperature:(0.0,40.0)}","{Humidity:(0.0,84.0)}",1.0,1.0,0.4695121951219512,1.0
31,"{Humidity:(0.0,84.0), Pressure:(10.0,1010.0)}","{Temperature:(0.0,40.0)}",1.0,1.0250000000000001,0.4695121951219512,0.975609756097561
32,"{Pressure:(5.0,1030.0), Temperature:(5.0,40.0)}","{Humidity:(10.0,74.0)}",0.8407643312101911,0.9919809375429594,0.8048780487804879,1.0
33,"{Humidity:(10.0,74.0), Temperature:(5.0,40.0)}","{Pressure:(5.0,1030.0)}",0.9777777777777779,1.02137296532201,0.8048780487804879,0.9790742793791573
34,"{Humidity:(10.0,74.0), Pressure:(5.0,1030.0)}","{Temperature:(5.0,40.0)}",1.0,1.0250000000000001,0.8048780487804879,0.975609756097561
35,"{Pressure:(10.0,1025.0), Temperature:(5.0,30.0)}","{Humidity:(0.0,84.0)}",1.0,1.0,0.6890243902439024,1.0
36,"{Humidity:(0.0,84.0), Temperature:(5.0,30.0)}","{Pressure:(10.0,1025.0)}",0.933884297520661,1.0278994952576403,0.6890243902439024,0.9728577595510469
37,"{Humidity:(0.0,74.0), Pressure:(0.0,1015.0)}","{Temperature:(0.0,35.0)}",0.926829268292683,1.0133333333333334,0.4634146341463415,0.9868421052631579
38,"{Pressure:(20.0,1030.0), Temperature:(0.0,30.0)}","{Humidity:(0.0,84.0)}",1.0,1.0,0.7195121951219512,1.0
39,"{Humidity:(0.0,84.0), Temperature:(0.0,30.0)}","{Pressure:(20.0,1030.0)}",0.9752066115702479,1.018687161130705,0.7195121951219512,0.9816556428276147
40,"{Humidity:(0.0,59.0), Temperature:(0.0,35.0)}","{Pressure:(0.0,1030.0)}",0.9651162790697674,1.0081469411938973,0.5060975609756098,0.9919188950925653
41,"{Humidity:(0.0,59.0), Pressure:(0.0,1030.0)}","{Temperature:(0.0,35.0)}",0.89247311827957,0.9757706093189965,0.5060975609756098,1.0
42,"{Pressure:(15.0,1030.0), Temperature:(10.0,35.0)}","{Humidity:(0.0,84.0)}",1.0,1.0,0.8902439024390244,1.0
43,"{Humidity:(0.0,84.0), Temperature:(10.0,35.0)}","{Pressure:(15.0,1030.0)}",0.9798657718120806,1.0235540546317274,0.8902439024390244,0.9769879719345138
44,"{Humidity:(0.0,84.0), Pressure:(15.0,1030.0)}","{Temperature:(10.0,35.0)}",0.9299363057324841,1.0235540546317274,0.8902439024390244,0.9769879719345138
45,"{Pressure:(10.0,1015.0), Temperature:(0.0,40.0)}","{Humidity:(0.0,79.0)}",0.8921568627450981,0.9886062533121357,0.5548780487804879,1.0
46,"{Humidity:(0.0,79.0), Pressure:(10.0,1015.0)}","{Temperature:(0.0,40.0)}",1.0,1.0250000000000001,0.5548780487804879,0.975609756097561
47,"{Pressure:(10.0,1025.0), Temperature:(15.0,40.0)}","{Humidity:(0.0,84.0)}",1.0,1.0,0.8292682926829268,1.0
48,"{Humidity:(0.0,84.0), Temperature:(15.0,40.0)}","{Pressure:(10.0,1025.0)}",0.9379310344827586,1.0323536218467946,0.8292682926829268,0.9686603299856529
49,"{Humidity:(0.0,84.0), Pressure:(10.0,1025.0)}","{Temperature:(15.0,40.0)}",0.9127516778523489,1.0323536218467946,0.8292682926829268,0.9686603299856529
50,"{Pressure:(5.0,1025.0), Temperature:(10.0,40.0)}","{Humidity:(10.0,84.0)}",1.0,1.0,0.9024390243902439,1.0
51,"{Humidity:(10.0,84.0), Temperature:(10.0,40.0)}","{Pressure:(5.0,1025.0)}",0.9308176100628931,1.0245240808745937,0.9024390243902439,0.9760629531970995
52,"{Humidity:(10.0,84.0), Pressure:(5.0,1025.0)}","{Temperature:(10.0,40.0)}",0.9932885906040269,1.0245240808745937,0.9024390243902439,0.9760629531970995
53,"{Pressure:(0.0,1020.0), Temperature:(10.0,35.0)}","{Humidity:(0.0,79.0)}",0.8740157480314961,0.968503937007874,0.676829268292683,1.0
