antecedent,consequent,confidence,lift,support
"Pressure:(0.0,1005.0); Temperature:(0.0,40.0)","Humidity:(5.0,84.0)",1.0,1.0,0.3313253012048193
"Humidity:(5.0,84.0); Pressure:(0.0,1005.0)","Temperature:(0.0,40.0)",1.0,1.0,0.3313253012048193
"Pressure:(5.0,1005.0); Temperature:(0.0,40.0)","Humidity:(0.0,84.0)",1.0,1.0,0.3313253012048193
"Humidity:(0.0,84.0); Pressure:(5.0,1005.0)","Temperature:(0.0,40.0)",1.0,1.0,0.3313253012048193
"Pressure:(0.0,1005.0); Temperature:(5.0,40.0)","Humidity:(0.0,84.0)",1.0,1.0,0.3313253012048193
"Humidity:(0.0,84.0); Pressure:(0.0,1005.0)","Temperature:(5.0,40.0)",1.0,1.0,0.3313253012048193
"Pressure:(0.0,1005.0); Temperature:(0.0,35.0)","Humidity:(0.0,84.0)",1.0,1.0,0.3192771084337349
"Humidity:(0.0,84.0); Pressure:(0.0,1005.0)","Temperature:(0.0,35.0)",0.9636363636363635,1.0455139631610217,0.3192771084337349
"Pressure:(25.0,1030.0); Temperature:(0.0,40.0)","Humidity:(5.0,84.0)",1.0,1.0,0.9578313253012049
"Humidity:(5.0,84.0); Temperature:(0.0,40.0)","Pressure:(25.0,1030.0)",0.9578313253012049,1.0,0.9578313253012049
"Humidity:(5.0,84.0); Pressure:(25.0,1030.0)","Temperature:(0.0,40.0)",1.0,1.0,0.9578313253012049
"Pressure:(25.0,1030.0); Temperature:(0.0,40.0)","Humidity:(0.0,79.0)",0.89937106918239,0.9953039832285115,0.8614457831325302
"Humidity:(0.0,79.0); Temperature:(0.0,40.0)","Pressure:(25.0,1030.0)",0.9533333333333334,0.9953039832285115,0.8614457831325302
"Humidity:(0.0,79.0); Pressure:(25.0,1030.0)","Temperature:(0.0,40.0)",1.0,1.0,0.8614457831325302
"Pressure:(30.0,1030.0); Temperature:(0.0,40.0)","Humidity:(0.0,84.0)",1.0,1.0,0.9578313253012049
"Humidity:(0.0,84.0); Temperature:(0.0,40.0)","Pressure:(30.0,1030.0)",0.9578313253012049,1.0,0.9578313253012049
"Humidity:(0.0,84.0); Pressure:(30.0,1030.0)","Temperature:(0.0,40.0)",1.0,1.0,0.9578313253012049
"Pressure:(25.0,1025.0); Temperature:(0.0,40.0)","Humidity:(0.0,84.0)",1.0,1.0,0.9096385542168675
"Humidity:(0.0,84.0); Temperature:(0.0,40.0)","Pressure:(25.0,1025.0)",0.9096385542168675,1.0,0.9096385542168675
"Humidity:(0.0,84.0); Pressure:(25.0,1025.0)","Temperature:(0.0,40.0)",1.0,1.0,0.9096385542168675
"Pressure:(25.0,1030.0); Temperature:(5.0,40.0)","Humidity:(0.0,84.0)",1.0,1.0,0.9578313253012049
"Humidity:(0.0,84.0); Temperature:(5.0,40.0)","Pressure:(25.0,1030.0)",0.9578313253012049,1.0,0.9578313253012049
