case:concept:name,concept:name,time:timestamp,label_0,label_1,label_2,label_3,label_4,resource,cost
Case_0,Start,2025-07-06 13:28:55.844027,1,1,0,1,0,Resource_5,17.707241754973992
Case_0,Register,2025-07-06 14:47:28.632067,1,1,0,0,1,Resource_2,87.50369334805355
Case_0,Analyze,2025-07-06 17:37:46.885979,0,1,0,0,0,Resource_3,78.8801155459912
Case_0,Review,2025-07-06 19:41:34.477086,0,1,0,1,1,Resource_3,44.14927988952773
Case_0,Reject,2025-07-06 20:06:09.174265,0,0,0,1,0,Resource_2,52.228439228610796
Case_0,Rework,2025-07-06 21:42:48.563759,0,1,0,0,0,Resource_4,69.8028204257744
Case_0,Analyze,2025-07-07 03:54:39.656354,0,1,0,0,1,Resource_5,77.25605456376238
Case_0,Review,2025-07-07 04:52:29.223412,1,0,1,0,0,Resource_5,97.05381294857126
Case_0,Approve,2025-07-07 09:19:06.841723,0,0,0,0,0,Resource_4,23.326451724813197
Case_0,Complete,2025-07-07 12:09:49.838687,1,0,0,0,0,Resource_3,56.60240930495481
Case_0,End,2025-07-07 14:46:11.913028,0,0,0,1,1,Resource_4,62.962107747122616
Case_1,Start,2025-07-04 17:07:53.094331,0,0,0,1,0,Resource_2,89.0326733225645
Case_1,Register,2025-07-04 17:37:56.769339,1,0,0,0,0,Resource_3,15.022543411040463
Case_1,Analyze,2025-07-04 18:39:01.371789,0,0,0,0,1,Resource_3,36.85504690007751
Case_1,Review,2025-07-04 20:11:35.538782,1,1,0,0,0,Resource_1,12.77363396730848
Case_1,Reject,2025-07-04 22:44:24.931999,1,1,1,1,0,Resource_4,51.06754605826968
Case_1,Rework,2025-07-04 23:39:52.197548,1,0,1,1,0,Resource_4,74.68638681177632
Case_1,Analyze,2025-07-05 00:39:20.150798,0,0,0,0,0,Resource_3,31.19143559385935
Case_1,Review,2025-07-05 05:27:05.890295,0,0,0,0,1,Resource_1,51.193979071362875
Case_1,Approve,2025-07-05 07:00:59.262849,0,0,1,0,0,Resource_4,12.124792061370288
Case_1,Complete,2025-07-05 10:18:42.363138,1,1,0,1,1,Resource_3,92.09094410891346
Case_1,End,2025-07-05 14:46:25.569996,0,0,1,0,1,Resource_5,54.043105512157815
Case_10,Start,2025-04-11 13:44:24.763485,0,0,0,0,0,Resource_5,76.80271301825825
Case_10,Register,2025-04-11 17:36:15.459524,0,0,0,0,0,Resource_2,31.965733724443794
Case_10,Analyze,2025-04-11 18:08:06.200591,1,0,1,0,0,Resource_2,97.40567300727554
Case_10,Review,2025-04-11 20:42:50.829971,1,0,0,0,1,Resource_3,93.54057235915718
Case_10,Reject,2025-04-11 22:21:04.203007,1,0,0,0,0,Resource_3,59.76567938724653
Case_10,End,2025-04-11 23:50:34.805902,0,0,1,0,1,Resource_2,26.677454437296156
Case_100,Start,2024-10-24 14:48:14.217117,1,0,1,0,1,Resource_3,59.604928594445205
Case_100,Register,2024-10-24 15:34:05.447467,0,1,1,0,1,Resource_5,28.710931115618948
Case_100,Analyze,2024-10-24 16:45:46.716036,0,0,0,0,0,Resource_4,93.21843013930292
Case_100,Review,2024-10-24 20:29:17.696906,1,0,0,0,0,Resource_1,71.22948543766643
Case_100,Approve,2024-10-24 21:15:25.786933,0,0,1,0,1,Resource_5,96.17754311505017
Case_100,Complete,2024-10-24 22:20:13.515767,0,1,0,0,0,Resource_3,29.94429600079108
Case_100,End,2024-10-25 00:26:36.619971,1,0,1,1,0,Resource_2,32.533990878787435
Case_101,Start,2025-05-30 14:12:54.936101,1,1,1,0,0,Resource_4,92.1737741263662
Case_101,Register,2025-05-30 14:42:27.656188,0,0,0,1,0,Resource_2,16.720422781060172
Case_101,Analyze,2025-05-30 18:06:43.037325,0,1,1,0,0,Resource_2,56.12798275160929
Case_101,Review,2025-05-30 19:53:09.221400,0,0,1,0,0,Resource_4,28.21879326291485
Case_101,Approve,2025-05-30 23:27:00.805457,0,1,1,0,0,Resource_2,35.81910428499164
Case_101,Complete,2025-05-31 01:38:48.058176,0,1,0,0,0,Resource_1,45.64550580993333
Case_101,End,2025-05-31 04:53:37.930635,1,0,0,0,0,Resource_5,74.7964344841071
Case_102,Start,2024-09-14 14:07:51.702522,0,0,0,0,0,Resource_1,58.916913935078554
Case_102,Register,2024-09-14 23:24:40.136493,0,1,1,0,0,Resource_3,55.596116089429856
Case_102,Analyze,2024-09-15 02:30:17.426856,0,1,0,0,0,Resource_1,75.25477644013134
Case_102,Review,2024-09-15 04:52:34.350553,0,0,0,0,1,Resource_5,40.330607059890525
Case_102,Reject,2024-09-15 05:20:23.365258,0,1,0,0,0,Resource_5,17.069306835608607
Case_102,Rework,2024-09-15 09:04:25.074698,1,0,0,0,0,Resource_1,94.06211518893993
Case_102,Analyze,2024-09-15 11:02:26.712430,0,0,0,0,1,Resource_4,64.96204257799108
Case_102,Review,2024-09-15 12:23:12.874534,0,0,0,0,0,Resource_1,62.62201299782749
Case_102,Approve,2024-09-15 12:41:22.845314,0,1,0,0,1,Resource_1,19.268039038033592
Case_102,Complete,2024-09-15 13:50:06.890261,0,0,0,0,1,Resource_2,76.58620145259292
Case_102,End,2024-09-15 15:43:39.127299,0,0,1,0,0,Resource_1,23.48329248677765
Case_103,Start,2024-12-21 00:35:14.267311,1,1,0,1,0,Resource_3,33.36795457245754
Case_103,Register,2024-12-21 06:47:43.738670,0,0,1,0,0,Resource_4,64.56432739925205
Case_103,Analyze,2024-12-21 10:41:24.590159,1,1,0,0,0,Resource_3,43.15628543160026
Case_103,Review,2024-12-21 12:39:55.509120,0,1,0,0,0,Resource_2,42.63037397564646
Case_103,Reject,2024-12-21 14:57:45.011366,0,0,1,0,0,Resource_1,43.803201938955254
Case_103,End,2024-12-21 18:48:56.090215,1,0,1,1,0,Resource_1,74.42743115900306
Case_104,Start,2024-11-10 13:28:19.071247,0,0,0,1,0,Resource_5,22.62130434907656
Case_104,Register,2024-11-10 22:29:02.520057,0,0,0,0,0,Resource_3,65.27546785760988
Case_104,Analyze,2024-11-11 02:34:40.726150,0,1,0,1,0,Resource_2,53.71888000680011
Case_104,Review,2024-11-11 12:13:06.673890,1,0,0,0,1,Resource_5,31.492815372968025
Case_104,Approve,2024-11-11 15:28:55.364690,0,0,1,1,1,Resource_4,79.50317575042517
Case_104,Complete,2024-11-11 17:39:23.466548,0,1,1,0,0,Resource_1,57.616163846152396
Case_104,End,2024-11-11 18:40:06.339358,0,0,0,0,0,Resource_3,58.27227408847987
Case_105,Start,2025-02-15 16:02:56.712763,1,0,0,0,1,Resource_5,48.58334172234834
Case_105,Register,2025-02-15 16:58:57.717449,1,0,0,0,0,Resource_4,25.264221041828627
Case_105,Analyze,2025-02-15 17:47:47.229257,1,1,0,0,0,Resource_1,42.62775991149657
Case_105,Review,2025-02-15 20:01:55.753380,1,1,0,0,0,Resource_5,54.17758682030983
Case_105,Approve,2025-02-15 20:23:26.685495,0,0,0,0,0,Resource_4,30.123533417401514
Case_105,Complete,2025-02-16 01:12:17.814350,1,0,0,0,1,Resource_1,94.50214605869706
Case_105,End,2025-02-16 06:33:46.597417,0,0,0,0,1,Resource_3,20.37159158250434
Case_106,Start,2025-03-16 13:02:36.912314,0,1,0,1,0,Resource_2,82.14091444890406
Case_106,Register,2025-03-16 17:02:52.591379,0,1,0,0,0,Resource_5,39.4489542489935
Case_106,Analyze,2025-03-16 18:10:54.134557,1,0,1,0,0,Resource_4,25.903736638862078
Case_106,Review,2025-03-16 19:58:14.196902,0,0,0,0,0,Resource_2,65.2544622826934
Case_106,Reject,2025-03-17 05:17:39.306884,0,1,0,1,0,Resource_4,45.07599167907906
Case_106,Rework,2025-03-17 07:11:33.521386,1,0,0,0,0,Resource_2,91.0001018534601
Case_106,Analyze,2025-03-17 07:49:38.581513,1,0,0,0,0,Resource_3,80.8095412571255
Case_106,Review,2025-03-17 14:11:36.483926,0,0,1,0,0,Resource_2,92.91844250659024
Case_106,Approve,2025-03-17 16:01:56.215202,0,1,1,0,0,Resource_4,29.38490169522299
Case_106,Complete,2025-03-17 21:42:18.810760,0,1,0,0,0,Resource_2,26.46743973289731
Case_106,End,2025-03-17 23:20:37.771359,0,0,0,1,0,Resource_4,78.88739057511245
Case_107,Start,2024-11-28 14:23:50.597241,1,0,1,0,0,Resource_4,45.26832517710146
Case_107,Register,2024-11-28 15:45:28.105009,0,0,0,0,0,Resource_5,12.561695851554898
Case_107,Analyze,2024-11-28 17:39:50.112771,0,0,1,1,0,Resource_1,99.513152937409
Case_107,Review,2024-11-28 20:56:26.669548,0,0,0,1,0,Resource_3,76.22020213135008
Case_107,Approve,2024-11-29 04:13:28.392136,0,0,0,0,0,Resource_3,90.41297667754337
Case_107,Complete,2024-11-29 10:29:26.356408,0,0,0,1,0,Resource_1,57.732965209506446
Case_107,End,2024-11-29 12:39:19.532187,0,0,0,1,0,Resource_4,69.70862194559194
Case_108,Start,2025-06-09 16:10:49.247500,0,0,1,1,0,Resource_1,54.21120422288845
Case_108,Register,2025-06-09 17:11:39.545556,0,1,0,0,1,Resource_2,79.83399990059726
Case_108,Analyze,2025-06-09 20:03:59.836037,0,0,1,0,0,Resource_3,84.0718631389543
Case_108,Review,2025-06-09 20:42:32.466593,1,0,0,0,1,Resource_2,46.06535706926999
Case_108,Approve,2025-06-09 21:16:16.481093,1,1,0,0,0,Resource_5,98.59203623976052
Case_108,Complete,2025-06-09 23:11:03.787140,0,0,1,0,0,Resource_1,86.42281494088434
Case_108,End,2025-06-10 02:06:53.144211,0,0,0,1,0,Resource_1,60.774256812186245
Case_109,Start,2025-07-13 16:30:35.811139,1,0,0,1,0,Resource_5,85.85765589482548
Case_109,Register,2025-07-13 18:31:42.111632,0,0,1,1,1,Resource_4,44.57303020069346
Case_109,Analyze,2025-07-13 20:22:29.529408,1,0,0,0,0,Resource_5,47.719337079650856
Case_109,Review,2025-07-14 00:47:04.213100,0,0,0,1,0,Resource_4,33.62391597922375
Case_109,Reject,2025-07-14 00:59:42.755176,1,0,0,0,0,Resource_2,11.139269658788356
Case_109,Rework,2025-07-14 01:41:58.472189,1,0,1,0,1,Resource_1,62.6081045339683
Case_109,Analyze,2025-07-14 04:32:11.327748,1,0,1,0,0,Resource_5,45.78705639185891
Case_109,Review,2025-07-14 05:59:53.606679,0,1,0,1,1,Resource_5,14.058223143513853
Case_109,Approve,2025-07-14 07:18:29.350096,0,0,0,1,0,Resource_5,25.583128763918616
Case_109,Complete,2025-07-14 13:38:53.217763,0,0,0,1,0,Resource_5,81.49297082632114
Case_109,End,2025-07-14 14:04:07.636001,0,0,0,1,0,Resource_5,95.51283795609511
Case_11,Start,2025-04-04 12:28:05.737531,0,0,0,1,0,Resource_2,65.84130828501914
Case_11,Register,2025-04-04 13:12:11.636571,0,0,0,1,0,Resource_1,82.69532786236343
Case_11,Analyze,2025-04-04 14:15:36.750328,1,0,1,0,0,Resource_4,60.644662381359254
Case_11,Review,2025-04-04 16:03:05.810947,0,1,0,0,0,Resource_1,56.411022243084126
Case_11,Approve,2025-04-04 18:34:44.309670,0,0,1,1,0,Resource_3,86.15595025882944
Case_11,Complete,2025-04-04 21:40:22.508228,0,1,0,0,1,Resource_2,80.36298625748643
Case_11,End,2025-04-05 00:29:51.470503,0,0,1,0,0,Resource_3,65.42192643799376
Case_110,Start,2024-08-23 13:33:27.200510,0,1,0,0,0,Resource_1,74.04853343443602
Case_110,Register,2024-08-23 17:36:06.007357,0,0,1,0,0,Resource_5,64.25926431486658
Case_110,Analyze,2024-08-23 17:48:35.288665,1,0,0,0,0,Resource_5,41.75547149162544
Case_110,Review,2024-08-23 18:54:16.466474,0,0,0,0,1,Resource_1,65.42596246336062
Case_110,Approve,2024-08-23 23:22:27.680108,1,0,0,0,1,Resource_3,85.54816891736544
Case_110,Complete,2024-08-24 00:14:22.824658,1,0,0,0,1,Resource_5,70.67213513956457
Case_110,End,2024-08-24 00:32:02.121773,0,0,0,0,1,Resource_2,44.580147713834975
Case_111,Start,2024-10-17 14:24:27.569408,1,1,0,0,0,Resource_4,75.08564147609935
Case_111,Register,2024-10-17 20:56:04.712246,0,0,0,0,0,Resource_1,99.3153135179175
Case_111,Analyze,2024-10-17 21:41:37.911146,0,0,1,1,0,Resource_5,50.899104746149646
Case_111,Review,2024-10-17 23:23:59.081298,0,0,0,0,0,Resource_4,61.57640030886255
Case_111,Approve,2024-10-18 00:40:18.991179,0,1,0,0,0,Resource_3,17.58854075253491
Case_111,Complete,2024-10-18 01:35:29.517531,1,0,0,0,0,Resource_1,89.37459200304404
Case_111,End,2024-10-18 02:57:18.057937,1,0,1,0,0,Resource_2,35.6100427802608
Case_112,Start,2025-02-23 14:32:51.660377,1,0,0,0,0,Resource_1,79.80674332901508
Case_112,Register,2025-02-23 17:07:33.143312,1,0,0,1,0,Resource_1,40.749910522965976
Case_112,Analyze,2025-02-23 20:40:10.621522,0,1,1,0,0,Resource_5,94.23050563567602
Case_112,Review,2025-02-23 21:55:00.069269,0,0,1,0,0,Resource_4,44.700755855437265
Case_112,Approve,2025-02-24 01:30:01.783538,0,0,0,0,0,Resource_3,40.31012610440409
Case_112,Complete,2025-02-24 03:47:46.484194,0,0,0,0,0,Resource_2,25.969312131405143
Case_112,End,2025-02-24 09:07:27.641873,1,0,1,0,0,Resource_5,63.52700155977704
Case_113,Start,2024-11-16 14:01:25.376131,0,0,1,0,1,Resource_3,38.823949401466535
Case_113,Register,2024-11-16 15:27:39.738884,0,1,1,0,0,Resource_5,73.92546787927859
Case_113,Analyze,2024-11-16 16:27:17.297261,0,0,1,0,0,Resource_2,25.636761520065473
Case_113,Review,2024-11-17 00:53:17.999480,0,1,0,0,1,Resource_4,82.75632603685975
Case_113,Reject,2024-11-17 04:30:02.906972,1,0,0,0,0,Resource_3,70.52106909457297
Case_113,Rework,2024-11-17 05:35:09.557434,0,0,0,0,0,Resource_1,46.923777276464676
Case_113,Analyze,2024-11-17 06:13:11.654276,0,0,0,0,0,Resource_2,53.56552338169105
Case_113,Review,2024-11-17 08:49:36.032435,0,1,0,0,0,Resource_2,10.892536640141792
Case_113,Approve,2024-11-17 09:04:25.420374,1,0,1,0,1,Resource_4,22.026675628040223
Case_113,Complete,2024-11-17 10:43:34.843197,0,0,0,0,1,Resource_2,15.251295755770242
Case_113,End,2024-11-17 11:34:14.041760,0,0,0,1,1,Resource_5,65.45465601804624
Case_114,Start,2025-04-06 17:53:29.751151,0,0,0,0,0,Resource_3,16.139065936255747
Case_114,Register,2025-04-06 23:01:29.568536,0,0,0,1,0,Resource_2,35.720746547014116
Case_114,Analyze,2025-04-07 00:18:16.793480,0,0,1,0,0,Resource_1,98.40766387184986
Case_114,Review,2025-04-07 02:41:44.584542,0,0,0,0,0,Resource_4,19.88123205253763
Case_114,Approve,2025-04-07 04:16:46.596568,0,0,1,0,0,Resource_1,15.135595171283414
Case_114,Complete,2025-04-07 05:06:35.241513,0,0,1,1,0,Resource_1,31.60735088881522
Case_114,End,2025-04-07 08:53:35.706222,0,1,1,0,0,Resource_5,42.86712773725876
Case_115,Start,2024-11-30 15:20:32.734642,1,0,1,0,0,Resource_4,21.34995362195428
Case_115,Register,2024-11-30 16:38:13.003674,0,0,0,0,0,Resource_4,67.95814050699612
Case_115,Analyze,2024-11-30 19:01:08.755039,0,0,1,0,0,Resource_3,75.01151123229553
Case_115,Review,2024-11-30 19:35:50.101057,0,0,0,1,0,Resource_2,33.225629479897535
Case_115,Reject,2024-11-30 23:28:04.271608,0,0,1,0,1,Resource_5,91.35479304467766
Case_115,End,2024-12-01 02:39:43.752658,0,0,0,1,1,Resource_3,85.45922479063175
Case_116,Start,2025-06-28 16:40:09.425043,1,0,0,1,0,Resource_3,71.29648594844758
Case_116,Register,2025-06-28 18:21:05.805168,1,0,0,0,0,Resource_5,51.49431564738827
Case_116,Analyze,2025-06-28 20:09:57.303750,0,0,1,0,0,Resource_5,16.867224168302254
Case_116,Review,2025-06-29 03:55:13.120585,1,1,0,0,0,Resource_4,90.04700401886046
Case_116,Reject,2025-06-29 05:44:03.359239,0,0,0,1,1,Resource_1,24.89931853511282
Case_116,Rework,2025-06-29 08:17:39.100784,0,0,1,1,0,Resource_5,97.55148515134285
Case_116,Analyze,2025-06-29 12:09:10.632974,0,1,0,0,0,Resource_1,31.943663303107808
Case_116,Review,2025-06-29 12:37:18.840607,1,0,1,0,0,Resource_2,80.74063565648711
Case_116,Approve,2025-06-29 15:49:21.926264,0,0,0,1,0,Resource_2,99.55889283764101
Case_116,Complete,2025-06-29 18:50:13.102636,0,1,0,0,0,Resource_1,55.116301223210506
Case_116,End,2025-06-29 19:29:35.122913,0,0,1,1,1,Resource_2,74.5907914856856
Case_117,Start,2024-07-29 12:48:43.152210,0,1,1,0,0,Resource_1,79.55975029078174
Case_117,Register,2024-07-29 15:35:55.683370,1,1,0,1,0,Resource_2,63.83171630762012
Case_117,Analyze,2024-07-29 16:28:21.420819,1,0,0,0,1,Resource_2,96.49012404005059
Case_117,Review,2024-07-29 23:16:24.657663,0,0,0,0,0,Resource_5,62.681195879472504
Case_117,Approve,2024-07-30 01:07:26.190219,0,0,1,0,0,Resource_2,21.805344857711134
Case_117,Complete,2024-07-30 02:45:30.992398,0,0,0,0,0,Resource_2,82.64459293671959
Case_117,End,2024-07-30 03:16:14.096835,0,0,0,0,0,Resource_1,69.4797135850001
Case_118,Start,2025-03-07 14:05:35.113142,0,0,0,0,0,Resource_4,69.8229368953942
Case_118,Register,2025-03-07 15:32:43.928289,0,1,1,1,0,Resource_4,10.407579083666716
Case_118,Analyze,2025-03-07 19:07:26.657267,1,1,0,0,0,Resource_1,94.90359538489126
Case_118,Review,2025-03-07 23:59:34.389625,0,1,1,0,0,Resource_1,71.51456314268029
Case_118,Reject,2025-03-08 01:03:19.418328,0,0,0,0,1,Resource_1,22.30685956879155
Case_118,Rework,2025-03-08 01:50:44.881826,0,0,0,0,0,Resource_4,32.04895113781475
Case_118,Analyze,2025-03-08 02:52:10.542952,1,0,0,0,1,Resource_5,40.589421139663244
Case_118,Review,2025-03-08 11:06:51.260423,0,0,0,0,0,Resource_2,47.019245853873905
Case_118,Approve,2025-03-08 14:00:15.044995,0,1,1,0,1,Resource_1,19.13038580678356
Case_118,Complete,2025-03-08 15:24:17.228802,1,0,0,0,0,Resource_2,30.74595113780665
Case_118,End,2025-03-08 16:30:24.822194,0,1,0,0,0,Resource_2,26.841755918744468
